batch_id,amine_smiles,cobalt_smiles,oxidant_smiles,alkali_smiles,solvent_smiles,yield,ee,select_tag
8,CC(C)(C)[C@H]([NH3+])CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.O=S(=O)([O-])C(F)(F)F,Co-5,F[N+]12CC[N+](CCl)(CC1)CC2,O=C(O)c1ccccc1,ClCCCl,20,54,TRUE
9,CC(C)(C)[C@H]([NH3+])CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.O=C([O-])C(F)(F)F,Co-11,F[n+]1ccccc1,O=C(O)c1ccccc1,ClCCCl,25,78,TRUE
9,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=S(=O)([O-])C(F)(F)F,Co-5,O=C1CCC(=O)N1Cl,CC(=O)O,CC#N,28,58,TRUE
9,CC(C)(C)[C@H]([NH3+])CN1CCOCC1.O=C([O-])C(F)(F)F,Co-7,O=C1CCC(=O)N1Cl,O=C(O)c1ccccc1,ClC(Cl)Cl,26,59,TRUE
9,O=S(=O)([O-])C(F)(F)F.[NH3+][C@H](CN1CCOCC1)C12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3,Co-11,F[n+]1ccccc1,O=C(O)c1ccccc1,ClCCCl,19,43,TRUE
9,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=S(=O)([O-])C(F)(F)F,Co-5,O=C1CCC(=O)N1Cl,O=C(O)c1ccccc1,CC#N,0,0,TRUE
10,CC(C)(C)[C@H]([NH3+])CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.O=S(=O)([O-])C(F)(F)F,Co-11,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,ClCCCl,23,75,TRUE
10,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=S(=O)([O-])C(F)(F)F,Co-2,O=C1c2ccccc2C(=O)N1Cl,CC(=O)O,ClC(Cl)Cl,28,65,TRUE
10,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)CC1.O=S(=O)([O-])C(F)(F)F,Co-2,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,ClC(Cl)Cl,27,49,TRUE
10,CC(C)(C)[C@H]([NH3+])CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.O=C([O-])C(F)(F)F,Co-11,O=C1CCC(=O)N1Cl,O=C(O)c1ccccc1,ClC(Cl)Cl,22,59,TRUE
10,CC(C)(C)[C@H]([NH3+])CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.O=C([O-])C(F)(F)F,Co-11,F[N+]12CC[N+](CCl)(CC1)CC2,O=C(O)c1ccccc1,ClCCCl,0,0,TRUE
11,CC(C)(C)[C@H]([NH3+])CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.O=S(=O)([O-])C(F)(F)F,Co-11,F[n+]1ccccc1,O=C(O)c1ccccc1,ClC(Cl)Cl,0,0,TRUE
11,CN(C[C@@H]([NH3+])C(C)(C)C)c1ccncc1.O=S(=O)([O-])C(F)(F)F,Co-3,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,ClC(Cl)Cl,0,0,TRUE
11,O=S(=O)([O-])C(F)(F)F.[NH3+][C@@H](Cc1ccccc1)CN1CCOCC1,Co-6,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,ClCCCl,37,46,TRUE
