SMILES,Tag,level,O_index,Exp_State
O=Cc1ccc(I)c(O)c1,True,2,8,No_Exp
COc1cc(C=O)c(Cl)cc1O,True,2,11,No_Exp
COc1cc(C=O)cc(I)c1O,True,2,11,No_Exp
O=Cc1cc(O)cc(C=O)c1,True,2,5,No_Exp
O=Cc1cc(C(=O)CBr)ccc1O,True,2,12,No_Exp
CC(C)(C)c1cc(C=O)c(O)c(C=O)c1,True,2,10,No_Exp
O=Cc1cc(Br)cc(F)c1O,True,2,10,No_Exp
O=Cc1cc(Br)cc(C=O)c1O,True,2,11,No_Exp
CC(C)(C)c1cc(Br)cc(C=O)c1O,True,2,13,No_Exp
O=Cc1ccc(O)c2ncccc12,True,2,6,No_Exp
O=CC=Cc1ccc(O)cc1,True,2,8,No_Exp
O=Cc1c(O)cccc1Br,True,2,4,No_Exp
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)CCC1=O,True,3,3,No_Exp
O=C1OCCC1O,True,2,6,No_Exp
O=C1OCC[C@@H]1O,True,2,6,No_React
O=C1OC(O)c2ccccc21,True,2,4,No_React
O=C1CC(O)CN1,True,2,4,No_Exp
O=C1CCc2ccc(O)cc2N1,True,2,8,No_Exp
O=C1CCc2c(O)cccc2N1,True,2,6,No_Exp
COc1cc2nc[nH]c(=O)c2cc1O,True,2,13,No_Exp
O=c1[nH]cc(CO)c(=O)[nH]1,True,1,6,No_Exp
O=c1ccn(CCO)c(=O)[nH]1,True,1,7,No_Exp
COc1ccc(C(OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)C[C@@H]2O)(c2ccccc2)c2ccc(OC)cc2)cc1,True,2,22,No_Exp
O=c1[nH]cc(CCO)c(=O)[nH]1,True,1,7,No_Exp
COCCO[C@@H]1[C@H](O)[C@@H](COC(c2ccccc2)(c2ccc(OC)cc2)c2ccc(OC)cc2)O[C@H]1n1cc(C)c(=O)[nH]c1=O,True,2,7,No_Exp
COc1ccc(C(OC[C@H]2O[C@@H](n3cnc4c(=O)nc(NC(=O)C(C)C)[nH]c43)[C@H](O)[C@@H]2O[Si](C)(C)C(C)(C)C)(c2ccccc2)c2ccc(OC)cc2)cc1,True,2,29,No_Exp
CCn1c(CO)n[nH]c1=O,True,1,5,No_Exp
O=C1CCC(N2C(=O)c3cccc(O)c3C2=O)C(=O)N1,True,2,13,No_Exp
O=C1CCC(N2C(=O)c3ccc(O)cc3C2=O)C(=O)N1,True,2,12,No_Exp
COc1ccc(CN2C(=O)CCC(O)C2=O)cc1,True,2,13,No_Exp
Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,True,1,9,No_Exp
O=C1CCCc2ccc(O)cc21,True,2,9,No_Exp
O=C1CCC(CO)CC1,True,1,6,No_Exp
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,True,3,21,No_Exp
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,True,3,3,No_Exp
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,True,3,4,No_Exp
C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,True,2,5,No_Exp
C[C@]12CC[C@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,True,2,5,No_Exp
CC1(C)CC(=O)c2cc(O)ccc2O1,True,2,9,No_Exp
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,True,3,3,No_Exp
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,True,3,21,No_Exp
O=c1cccccc1O,True,2,8,No_Exp
CCc1occc(=O)c1O,True,2,9,No_Exp
COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O,True,1,19,No_Exp
CC1(C)O[C@H]2O[C@H]3[C@H](OC(=O)[C@H]3O)[C@H]2O1,True,2,12,No_Exp
CCCCCCCCCCCCCCCCOC(=O)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,True,2,27,No_Exp
CCCCOC(=O)CO,True,1,8,No_Exp
O=C(NCCCCCCO)OCc1ccccc1,True,1,9,No_Exp
O=C(OCc1ccccc1)c1ccc(O)cc1,True,2,14,No_Exp
CCOC(=O)Cc1ccccc1O,True,2,12,No_Exp
CCOC(=O)CC(O)c1ccccc1,True,2,7,No_Exp
CC(C)COC(=O)c1ccc(O)cc1,True,2,11,No_Exp
C=C(C)C(=O)Oc1ccc(O)cc1,True,2,10,No_Exp
C=C(C)C(=O)Oc1ccc(C(=O)c2ccccc2)c(O)c1,True,2,19,No_Exp
COC(=O)CCCCCO,True,1,9,No_Exp
CCCCCCC(O)CC(=O)OC,True,2,7,No_Exp
CCCCCC(O)CC(=O)OC,True,2,6,No_Exp
CCCCC(O)CC(=O)OC,True,2,5,No_Exp
COC(=O)c1ccc(O)nc1,True,2,8,No_Exp
COC(=O)c1ccc(I)c(O)c1,True,2,10,No_Exp
COC(=O)c1ccc(C(=O)OC)c(O)c1,True,2,13,No_Exp
COC(=O)c1ccc([N+](=O)[O-])c(O)c1,True,2,12,No_Exp
